0;4;8;42;sea;false;unknown;0
1;4;8;42;sea;false;ocean;0
2;14;34;13;sea;false;ocean;0
3;12;10;44;sea;false;ocean;0
4;2;62;28;sea;true;ocean;0
5;12;47;32;sea;false;ocean;0
6;26;19;11;sea;false;ocean;0
7;2;22;4;sea;false;ocean;0
8;34;35;13;sea;false;ocean;0
9;14;18;59;sea;false;ocean;0
10;5;21;20;sea;false;ocean;0
11;20;22;12;sea;false;ocean;0
12;12;18;65;sea;false;ocean;0
13;0;49;25;sea;false;ocean;0
14;23;5;41;sea;true;ocean;0
15;41;10;19;sea;true;ocean;0
16;4;39;30;sea;true;ocean;0
17;9;22;53;sea;false;ocean;0
18;5;21;17;sea;false;ocean;0
19;18;40;15;sea;true;ocean;0
20;55;10;30;sea;false;ocean;0
21;51;42;3;sea;false;ocean;0
22;50;40;6;sea;true;ocean;0
23;14;56;25;sea;false;ocean;0
24;44;21;9;sea;false;ocean;0
25;31;7;17;sea;false;ocean;0
26;71;15;11;sea;false;ocean;0
27;35;38;9;sea;false;ocean;0
28;0;4;53;sea;false;ocean;0
29;83;0;12;sea;false;ocean;0
30;34;34;8;sea;false;ocean;0
31;242;128;159;land;true;plains;0
32;157;118;239;land;true;plains;0
33;196;208;239;land;true;plains;0
34;248;49;224;land;true;plains;0
35;39;33;7;sea;false;ocean;0
36;13;47;36;sea;false;ocean;0
37;11;52;27;sea;false;ocean;0
38;197;144;250;land;false;plains;0
39;227;234;243;land;false;plains;0
40;56;8;33;sea;true;ocean;0
41;249;234;21;land;true;plains;0
42;25;57;1;sea;false;ocean;0
43;202;250;169;land;true;plains;0
44;199;185;212;land;false;plains;0
45;72;235;238;land;false;plains;0
46;51;1;28;sea;true;ocean;0
47;57;7;8;sea;false;ocean;0
48;158;194;222;land;false;plains;0
49;233;132;199;land;true;plains;0
50;141;252;174;land;true;mountain;0
51;191;168;217;land;false;marsh;0
52;251;112;159;land;false;marsh;0
53;211;234;251;land;false;plains;0
54;182;197;130;land;true;plains;0
55;235;54;232;land;true;plains;0
56;48;35;3;sea;false;ocean;0
57;34;15;35;land;false;marsh;0
58;192;197;179;land;true;mountain;0
59;250;166;238;land;true;plains;0
60;160;147;253;sea;false;ocean;0
61;9;13;59;land;false;marsh;0
62;150;250;172;land;true;plains;0
63;12;75;1;land;false;marsh;0
64;205;229;140;land;true;mountain;0
65;171;238;194;land;true;marsh;0
66;183;138;187;sea;false;ocean;0
67;13;3;10;sea;true;ocean;0
68;200;178;185;land;true;mountain;0
69;163;215;136;sea;false;ocean;0
70;60;5;32;sea;true;ocean;0
71;9;17;60;sea;true;ocean;0
72;8;3;38;sea;false;ocean;0
73;7;26;55;sea;true;ocean;0
74;12;19;50;sea;false;ocean;0
75;93;207;226;land;true;plains;0
76;14;39;6;sea;false;ocean;0
77;197;244;202;sea;true;ocean;0
78;7;22;15;sea;true;ocean;0
79;207;166;204;land;true;plains;0
80;26;43;11;sea;false;ocean;0
81;152;253;169;land;false;plains;0
82;195;223;202;land;true;plains;0
83;152;161;252;land;false;plains;0
84;233;228;168;land;true;plains;0
85;202;212;110;sea;true;lakes;0
86;209;151;195;sea;false;lakes;0
87;216;243;127;land;true;mountain;0
